graphml_entity,medical_kg_entity,match_type,confidence
新生儿巨细胞病毒感染,新生儿巨细胞病毒感染,exact,1.0
膈肌肿瘤,膈肌肿瘤,exact,1.0
左旋咪唑,左旋咪唑,exact,1.0
半合成青霉素,半合成青霉素,exact,1.0
抗菌药物治疗,抗菌药物治疗,exact,1.0
sb,sb,exact,1.0
学龄儿童,学龄儿童,exact,1.0
virazole,virazole,exact,1.0
血栓性静脉炎,血栓性静脉炎,exact,1.0
vd,vd,exact,1.0
阴性,阴性,exact,1.0
interleukin-6,interleukin-6,exact,1.0
多动,多动,exact,1.0
倦怠,倦怠,exact,1.0
ivig,ivig,exact,1.0
替卡西林/克拉维酸,替卡西林/克拉维酸,exact,1.0
脓胸伴有瘘,脓胸伴有瘘,exact,1.0
血清肌酐,血清肌酐,exact,1.0
白喉,白喉,exact,1.0
synagis,synagis,exact,1.0
过敏性皮疹,过敏性皮疹,exact,1.0
第二代头孢菌素,第二代头孢菌素,exact,1.0
支气管狭窄,支气管狭窄,exact,1.0
nafcillin,nafcillin,exact,1.0
furosemide,furosemide,exact,1.0
12岁以上患者,12岁以上患者,exact,1.0
雷诺嗪,雷诺嗪,exact,1.0
地塞米松,地塞米松,exact,1.0
水痘,水痘,exact,1.0
需氧菌,需氧菌,exact,1.0
复方磺胺甲基异噁唑,复方磺胺甲基异噁唑,exact,1.0
早产,早产,exact,1.0
0.1g,0.1g,exact,1.0
头孢托仑,头孢托仑,exact,1.0
胎儿,胎儿,exact,1.0
pentamidine,pentamidine,exact,1.0
皮肤芽生菌病,皮肤芽生菌病,exact,1.0
sulfamethoxazole,sulfamethoxazole,exact,1.0
戈登分枝杆菌,戈登分枝杆菌,exact,1.0
镜检,镜检,exact,1.0
巴西诺卡菌,巴西诺卡菌,exact,1.0
酮症酸中毒,酮症酸中毒,exact,1.0
继发感染,继发感染,exact,1.0
利福布丁,利福布丁,exact,1.0
奥美拉唑,奥美拉唑,exact,1.0
呼吸困难加重,呼吸困难加重,exact,1.0
液体潴留,液体潴留,exact,1.0
左氧氟沙星,左氧氟沙星,exact,1.0
急性阑尾炎,急性阑尾炎,exact,1.0
免疫学,免疫学,exact,1.0
奎尼丁,奎尼丁,exact,1.0
寄生虫感染,寄生虫感染,exact,1.0
杆菌性血管瘤病,杆菌性血管瘤病,exact,1.0
剧烈咳嗽,剧烈咳嗽,exact,1.0
病理学检查,病理学检查,exact,1.0
肝脏肿大,肝脏肿大,exact,1.0
wbc,wbc,exact,1.0
细菌学检查,细菌学检查,exact,1.0
利奈唑胺,利奈唑胺,exact,1.0
混合性哮喘,混合性哮喘,exact,1.0
免疫缺陷患者,免疫缺陷患者,exact,1.0
骨质疏松,骨质疏松,exact,1.0
头孢孟多,头孢孟多,exact,1.0
浆膜腔积液,浆膜腔积液,exact,1.0
胸腔积液检查,胸腔积液检查,exact,1.0
氨曲南,氨曲南,exact,1.0
头孢呋辛钠,头孢呋辛钠,exact,1.0
钩虫病,钩虫病,exact,1.0
替卡西林,替卡西林,exact,1.0
大肠杆菌,大肠杆菌,exact,1.0
活动,活动,exact,1.0
氯碳头孢,氯碳头孢,exact,1.0
头晕,头晕,exact,1.0
肝坏死,肝坏死,exact,1.0
喷他佐辛,喷他佐辛,exact,1.0
磺胺增效剂,磺胺增效剂,exact,1.0
meropenem,meropenem,exact,1.0
流泪,流泪,exact,1.0
气管,气管,exact,1.0
关节痛,关节痛,exact,1.0
更昔洛韦,更昔洛韦,exact,1.0
脂肪乳,脂肪乳,exact,1.0
急性肾功能衰竭,急性肾功能衰竭,exact,1.0
高分辨ct,高分辨ct,exact,1.0
胃肠道反应,胃肠道反应,exact,1.0
神经质,神经质,exact,1.0
dna酶,dna酶,exact,1.0
2,2,exact,1.0
磺胺甲噁唑,磺胺甲噁唑,exact,1.0
d-dimer,d-dimer,exact,1.0
精神病,精神病,exact,1.0
脓胸,脓胸,exact,1.0
抗微生物药物治疗,抗微生物药物治疗,exact,1.0
定期筛查,定期筛查,exact,1.0
肺源性心脏病,肺源性心脏病,exact,1.0
抗结核药,抗结核药,exact,1.0
环境污染,环境污染,exact,1.0
咖啡因,咖啡因,exact,1.0
支气管镜检查,支气管镜检查,exact,1.0
心脏超声,心脏超声,exact,1.0
喉,喉,exact,1.0
秋水仙碱,秋水仙碱,exact,1.0
高尿酸血症,高尿酸血症,exact,1.0
氟康唑注射液,氟康唑注射液,exact,1.0
手术切除,手术切除,exact,1.0
胸部增强ct,胸部增强ct,exact,1.0
asthma,asthma,exact,1.0
冷凝集试验,冷凝集试验,exact,1.0
卟啉病,卟啉病,exact,1.0
替诺福韦酯,替诺福韦酯,exact,1.0
鼻气管插管,鼻气管插管,exact,1.0
普卢利沙星,普卢利沙星,exact,1.0
益康唑,益康唑,exact,1.0
肾上腺,肾上腺,exact,1.0
蛋白质,蛋白质,exact,1.0
95%,95%,exact,1.0
合并感染,合并感染,exact,1.0
厌食,厌食,exact,1.0
误吸,误吸,exact,1.0
胸膜腔,胸膜腔,exact,1.0
中枢神经系统损害,中枢神经系统损害,exact,1.0
amikin,amikin,exact,1.0
脓肿分枝杆菌,脓肿分枝杆菌,exact,1.0
肝大,肝大,exact,1.0
流涕,流涕,exact,1.0
2.5%,2.5%,exact,1.0
伊曲康唑,伊曲康唑,exact,1.0
肺大泡,肺大泡,exact,1.0
cefixime,cefixime,exact,1.0
注射部位疼痛,注射部位疼痛,exact,1.0
咽喉肿痛,咽喉肿痛,exact,1.0
发痒,发痒,exact,1.0
沙美特罗,沙美特罗,exact,1.0
卡介苗,卡介苗,exact,1.0
磺胺甲噁唑/甲氧苄啶,磺胺甲噁唑/甲氧苄啶,exact,1.0
白蛋白,白蛋白,exact,1.0
g-csf,g-csf,exact,1.0
蛋白尿,蛋白尿,exact,1.0
脊髓,脊髓,exact,1.0
鼻塞,鼻塞,exact,1.0
美洛西林,美洛西林,exact,1.0
糖尿病,糖尿病,exact,1.0
背痛,背痛,exact,1.0
igm,igm,exact,1.0
室上性心动过速,室上性心动过速,exact,1.0
嗜血流感杆菌,嗜血流感杆菌,exact,1.0
免疫调节剂,免疫调节剂,exact,1.0
ct,ct,exact,1.0
病毒分离,病毒分离,exact,1.0
溶血,溶血,exact,1.0
精神障碍,精神障碍,exact,1.0
血常规,血常规,exact,1.0
胆固醇肺炎,胆固醇肺炎,exact,1.0
球孢子菌病,球孢子菌病,exact,1.0
流行性感冒,流行性感冒,exact,1.0
肥胖,肥胖,exact,1.0
放射学检查,放射学检查,exact,1.0
呼吸困难,呼吸困难,exact,1.0
粒细胞缺乏,粒细胞缺乏,exact,1.0
次大面积肺栓塞,次大面积肺栓塞,exact,1.0
大环内酯类抗生素,大环内酯类抗生素,exact,1.0
光滑念珠菌,光滑念珠菌,exact,1.0
influenza a,influenza a,exact,1.0
维生素a,维生素a,exact,1.0
风湿性关节炎,风湿性关节炎,exact,1.0
链激酶,链激酶,exact,1.0
皮质激素,皮质激素,exact,1.0
broncholithiasis,broncholithiasis,exact,1.0
影像检查,影像检查,exact,1.0
中毒性表皮坏死,中毒性表皮坏死,exact,1.0
眼痛,眼痛,exact,1.0
窒息死亡,窒息死亡,exact,1.0
抗生素相关性腹泻,抗生素相关性腹泻,exact,1.0
乙酰唑胺,乙酰唑胺,exact,1.0
气胸,气胸,exact,1.0
呼吸功能衰竭,呼吸功能衰竭,exact,1.0
鼻病毒急性支气管炎,鼻病毒急性支气管炎,exact,1.0
侵袭性真菌感染,侵袭性真菌感染,exact,1.0
胸壁窦道,胸壁窦道,exact,1.0
fortaz,fortaz,exact,1.0
肺芽生菌病,肺芽生菌病,exact,1.0
寒战,寒战,exact,1.0
环丝氨酸,环丝氨酸,exact,1.0
热,热,exact,1.0
西司他丁,西司他丁,exact,1.0
smz-tmp,smz-tmp,exact,1.0
抗真菌药,抗真菌药,exact,1.0
苄星青霉素g,苄星青霉素g,exact,1.0
精神状态改变,精神状态改变,exact,1.0
氨茶碱,氨茶碱,exact,1.0
硼酸,硼酸,exact,1.0
非甾体抗炎药,非甾体抗炎药,exact,1.0
巨细胞病毒,巨细胞病毒,exact,1.0
吸虫病,吸虫病,exact,1.0
人乳头瘤病毒,人乳头瘤病毒,exact,1.0
cpk,cpk,exact,1.0
palivizumab,palivizumab,exact,1.0
肺结核,肺结核,exact,1.0
囊性纤维化,囊性纤维化,exact,1.0
血清学检测,血清学检测,exact,1.0
烦躁,烦躁,exact,1.0
行为异常,行为异常,exact,1.0
单纯疱疹病毒,单纯疱疹病毒,exact,1.0
抗生素,抗生素,exact,1.0
血小板,血小板,exact,1.0
急慢性感染,急慢性感染,exact,1.0
流感嗜血杆菌急性支气管炎,流感嗜血杆菌急性支气管炎,exact,1.0
人血白蛋白,人血白蛋白,exact,1.0
cid,cid,exact,1.0
严重急性呼吸综合征,严重急性呼吸综合征,exact,1.0
抽搐,抽搐,exact,1.0
传播途径,传播途径,exact,1.0
血压降低,血压降低,exact,1.0
doxycycline,doxycycline,exact,1.0
维生素b6,维生素b6,exact,1.0
blastomycosis,blastomycosis,exact,1.0
低氧血症,低氧血症,exact,1.0
33%,33%,exact,1.0
gm-csf,gm-csf,exact,1.0
急性呼吸窘迫综合征,急性呼吸窘迫综合征,exact,1.0
心悸,心悸,exact,1.0
热带念珠菌,热带念珠菌,exact,1.0
急性期,急性期,exact,1.0
急性细支气管炎,急性细支气管炎,exact,1.0
ceftazidime,ceftazidime,exact,1.0
严重头痛,严重头痛,exact,1.0
呼吸暂停,呼吸暂停,exact,1.0
头孢唑啉,头孢唑啉,exact,1.0
肾移植,肾移植,exact,1.0
包裹性胸腔积液,包裹性胸腔积液,exact,1.0
克力芝,克力芝,exact,1.0
视力障碍,视力障碍,exact,1.0
肝素,肝素,exact,1.0
抗真菌治疗,抗真菌治疗,exact,1.0
衣原体感染,衣原体感染,exact,1.0
chronic bronchitis,chronic bronchitis,exact,1.0
机械通气支持,机械通气支持,exact,1.0
amphocil,amphocil,exact,1.0
红霉素琥珀酸乙酯,红霉素琥珀酸乙酯,exact,1.0
剥脱性皮炎,剥脱性皮炎,exact,1.0
味觉异常,味觉异常,exact,1.0
奈替米星,奈替米星,exact,1.0
pas,pas,exact,1.0
头孢菌素类,头孢菌素类,exact,1.0
盐酸氨溴索,盐酸氨溴索,exact,1.0
amphotericin b,amphotericin b,exact,1.0
林格液,林格液,exact,1.0
结核感染,结核感染,exact,1.0
laryngitis,laryngitis,exact,1.0
甲泼尼龙,甲泼尼龙,exact,1.0
药物性支气管哮喘,药物性支气管哮喘,exact,1.0
legionnaires' disease,legionnaires' disease,exact,1.0
盐酸多西环素,盐酸多西环素,exact,1.0
肠穿孔,肠穿孔,exact,1.0
精神异常,精神异常,exact,1.0
抗病毒药,抗病毒药,exact,1.0
两性霉素b,两性霉素b,exact,1.0
厌氧菌,厌氧菌等,llm,0.9
犬吠样咳嗽,犬吠样咳嗽,exact,1.0
肾衰,肾衰,exact,1.0
四环素,四环素,exact,1.0
胸水,胸水,exact,1.0
硫氯酚,硫氯酚,exact,1.0
四肢,四肢,exact,1.0
血管炎,血管炎,exact,1.0
肺浸润,肺浸润,exact,1.0
免疫抑制,免疫抑制,exact,1.0
变形杆菌属,变形杆菌属,exact,1.0
抗微生物治疗,抗微生物治疗,exact,1.0
细支气管炎,细支气管炎,exact,1.0
自发性张力性气胸,自发性张力性气胸,exact,1.0
结核菌素试验,结核菌素试验,exact,1.0
ldh升高,ldh升高,exact,1.0
心电图,心电图,exact,1.0
芬太尼,芬太尼,exact,1.0
机械通气治疗,机械通气治疗,exact,1.0
大肠杆菌性肺炎,大肠杆菌性肺炎,exact,1.0
乳酸脱氢酶升高,乳酸脱氢酶升高,exact,1.0
他唑巴坦,他唑巴坦,exact,1.0
呼吸窘迫综合征,呼吸窘迫综合征,exact,1.0
四环素类,四环素类,exact,1.0
声音嘶哑,声音嘶哑,exact,1.0
轻度畏寒,轻度畏寒,exact,1.0
卷曲霉素,卷曲霉素,exact,1.0
原位癌,原位癌,exact,1.0
药物敏感性试验,药物敏感性试验,exact,1.0
肠梗阻,肠梗阻,exact,1.0
哌库溴铵,哌库溴铵,exact,1.0
嗜酸细胞增多,嗜酸细胞增多,exact,1.0
普遍易感,普遍易感,exact,1.0
支气管内膜结核,支气管内膜结核,exact,1.0
严重肝功能不全,严重肝功能不全,exact,1.0
流涎,流涎,exact,1.0
多西环素,多西环素,exact,1.0
芽生菌病,芽生菌病,exact,1.0
原发性肺球孢子菌病,原发性肺球孢子菌病,exact,1.0
巨细胞病毒感染,巨细胞病毒感染,exact,1.0
mers,mers,exact,1.0
组织,组织,exact,1.0
胀气,胀气,exact,1.0
运动,运动,exact,1.0
肝功能异常,肝功能异常,exact,1.0
外科手术,外科手术,exact,1.0
实验室检查,实验室检查,exact,1.0
cefpodoxime proxetil,cefpodoxime proxetil,exact,1.0
influenza,influenza,exact,1.0
青霉素v钾,青霉素v钾,exact,1.0
液气胸,液气胸,exact,1.0
氟罗沙星,氟罗沙星,exact,1.0
spiramycin,spiramycin,exact,1.0
气喘,气喘,exact,1.0
咽喉,咽喉,exact,1.0
纵隔,纵隔,exact,1.0
结核病,结核病,exact,1.0
支气管扩张,支气管扩张,exact,1.0
polymyxin e,硫酸粘菌素颗粒,llm,0.9
肌病,肌病,exact,1.0
过敏性皮炎,过敏性皮炎,exact,1.0
克拉霉素缓释片,克拉霉素缓释片,exact,1.0
tmp,tmp,exact,1.0
晕厥,晕厥,exact,1.0
乙酰螺旋霉素,乙酰螺旋霉素,exact,1.0
穿透性创伤,穿透性创伤,exact,1.0
5%葡萄糖,5%葡萄糖,exact,1.0
胸部,胸部,exact,1.0
免疫状态,免疫状态,exact,1.0
cefzil,cefzil,exact,1.0
β2受体激动剂,β2受体激动剂,exact,1.0
氧氟沙星,氧氟沙星,exact,1.0
生化检查,生化检查,exact,1.0
心搏骤停,心搏骤停,exact,1.0
纵隔增宽,纵隔增宽,exact,1.0
nosocomial pneumonia,nosocomial pneumonia,exact,1.0
色素沉着,色素沉着,exact,1.0
发热待查,发热待查,exact,1.0
头孢克洛,头孢克洛,exact,1.0
细菌性肺炎,细菌性肺炎,exact,1.0
支气管痉挛,支气管痉挛,exact,1.0
itraconazole,itraconazole,exact,1.0
畏寒,畏寒,exact,1.0
感染,感染,exact,1.0
手术治疗,手术治疗,exact,1.0
右上腹痛,右上腹痛,exact,1.0
肾衰竭,肾衰竭,exact,1.0
接合菌病,接合菌病,exact,1.0
磺胺多辛,磺胺多辛,exact,1.0
真菌培养,真菌培养,exact,1.0
人型支原体,人型支原体,exact,1.0
意识混乱,意识混乱,exact,1.0
戒烟,戒烟,exact,1.0
肺炎链球菌性肺炎,肺炎链球菌性肺炎,exact,1.0
肝脾肿大,肝脾肿大,exact,1.0
播散性副球孢子菌病,播散性副球孢子菌病,exact,1.0
庆大霉素,庆大霉素,exact,1.0
气管切开,气管切开,exact,1.0
肝肾功能,肝肾功能,exact,1.0
生理盐水,生理盐水,exact,1.0
少见,少见,exact,1.0
dexamethasone,dexamethasone,exact,1.0
金刚乙胺,金刚乙胺,exact,1.0
神经病变,神经病变,exact,1.0
葡萄球菌属,葡萄球菌属,exact,1.0
进行性呼吸困难,进行性呼吸困难,exact,1.0
蝇疫霉病,蝇疫霉病,exact,1.0
咽拭子培养,咽拭子培养,exact,1.0
艾滋病,艾滋病,exact,1.0
体位引流,体位引流,exact,1.0
严重感染,严重感染,exact,1.0
阿苯达唑,阿苯达唑,exact,1.0
冠状病毒感染,冠状病毒感染,exact,1.0
肺泡,肺泡,exact,1.0
心内膜炎,心内膜炎,exact,1.0
carbon dioxide,carbon dioxide,exact,1.0
范围,范围,exact,1.0
tuberculosis,tuberculosis,exact,1.0
呼吸道黏膜,呼吸道黏膜,exact,1.0
免疫,免疫,exact,1.0
血性胸水,血性胸水,exact,1.0
注意力不集中,注意力不集中,exact,1.0
支气管扩张伴感染,支气管扩张伴感染,exact,1.0
地红霉素,地红霉素,exact,1.0
肺炎链球菌疫苗,肺炎链球菌疫苗,exact,1.0
无尿,无尿,exact,1.0
安浮特克,安浮特克,exact,1.0
粒细胞缺乏症,粒细胞缺乏症,exact,1.0
记忆力减退,记忆力减退,exact,1.0
日内瓦分枝杆菌,日内瓦分枝杆菌,exact,1.0
bronchiectasis,bronchiectasis,exact,1.0
500mg,500mg,exact,1.0
皮肤溃疡,皮肤溃疡,exact,1.0
叩诊浊音,叩诊浊音,exact,1.0
亚胺培南,亚胺培南,exact,1.0
中鼻道,中鼻道,exact,1.0
病毒,病毒,exact,1.0
disseminated aspergillosis,disseminated aspergillosis,exact,1.0
伴有全身症状,伴有全身症状,exact,1.0
甲氧苄啶,甲氧苄啶,exact,1.0
5-fc,5-fc,exact,1.0
急性上呼吸道感染,急性上呼吸道感染,exact,1.0
600mg,600mg,exact,1.0
脓毒症,脓毒症,exact,1.0
接触传播,接触传播,exact,1.0
头孢克肟,头孢克肟,exact,1.0
咽部结核,咽部结核,exact,1.0
甲型流感,甲型流感,exact,1.0
传染源,传染源,exact,1.0
股骨,股骨,exact,1.0
胸膜炎性疼痛,胸膜炎性疼痛,exact,1.0
风疹病毒,风疹病毒,exact,1.0
c反应蛋白（crp）,c反应蛋白（crp）,exact,1.0
头疼,头疼,exact,1.0
弛张热,弛张热,exact,1.0
持续发热,持续发热,exact,1.0
血痰,血痰,exact,1.0
骨痛,骨痛,exact,1.0
决奈达隆,决奈达隆,exact,1.0
呋塞米,呋塞米,exact,1.0
面部浮肿,面部浮肿,exact,1.0
头孢噻肟,头孢噻肟,exact,1.0
巴基斯坦,巴基斯坦,exact,1.0
超声,超声,exact,1.0
肺孢子菌肺炎,肺孢子菌肺炎,exact,1.0
放线菌,放线菌,exact,1.0
磺胺甲基异噁唑,磺胺甲基异噁唑,exact,1.0
组织学检查,组织学检查,exact,1.0
枸橼酸杆菌属,枸橼酸杆菌属,exact,1.0
多黏菌素e,多黏菌素e,exact,1.0
运动障碍,运动障碍,exact,1.0
高龄,高龄,exact,1.0
盐酸,盐酸,exact,1.0
骨骼,骨骼,exact,1.0
gpt升高,gpt升高,exact,1.0
切开引流,切开引流,exact,1.0
支气管源性囊肿,支气管源性囊肿,exact,1.0
支气管肺泡灌洗液,支气管肺泡灌洗液,exact,1.0
右肺,右肺,exact,1.0
rt,rt,exact,1.0
囊肿,囊肿,exact,1.0
血清病,血清病,exact,1.0
循环衰竭,循环衰竭,exact,1.0
全身不适,全身不适,exact,1.0
会厌囊肿,会厌囊肿,exact,1.0
平衡失调,平衡失调,exact,1.0
欧洲,欧洲,exact,1.0
局部治疗,局部治疗,exact,1.0
骨隐球菌病,骨隐球菌病,exact,1.0
乳糖酸红霉素,乳糖酸红霉素,exact,1.0
蜂蜜,蜂蜜,exact,1.0
社区获得性肺炎,社区获得性肺炎,exact,1.0
印度尼西亚,印度尼西亚,exact,1.0
肿胀,肿胀,exact,1.0
心动过速,心动过速,exact,1.0
头孢唑林钠,头孢唑林钠,exact,1.0
急性肺血栓栓塞症,急性肺血栓栓塞症,exact,1.0
慢性支气管炎急性发作,慢性支气管炎急性发作,exact,1.0
急性肾衰,急性肾衰,exact,1.0
吉米沙星,吉米沙星,exact,1.0
百日咳疫苗,百日咳疫苗,exact,1.0
贫血,贫血,exact,1.0
黏菌素,黏菌素,exact,1.0
rsv感染,rsv感染,exact,1.0
新生儿吸入性肺炎,新生儿吸入性肺炎,exact,1.0
体弱,体弱,exact,1.0
帕利珠单抗,帕利珠单抗,exact,1.0
抗感染治疗,抗感染治疗,exact,1.0
精神错乱,精神错乱,exact,1.0
深静脉血栓,深静脉血栓,exact,1.0
肌酐升高,肌酐升高,exact,1.0
泊沙康唑口服混悬液,泊沙康唑口服混悬液,exact,1.0
250mg,250mg,exact,1.0
肠球菌,肠球菌,exact,1.0
喉梗阻,喉梗阻,exact,1.0
皮肤瘙痒,皮肤瘙痒,exact,1.0
低蛋白血症,低蛋白血症,exact,1.0
支扩,支扩,exact,1.0
颜面潮红,颜面潮红,exact,1.0
多房棘球蚴病,多房棘球蚴病,exact,1.0
cefoperazone,cefoperazone,exact,1.0
出血点,出血点,exact,1.0
异烟肼,异烟肼,exact,1.0
血胸,血胸,exact,1.0
依他尼酸,依他尼酸,exact,1.0
kanamycin,kanamycin,exact,1.0
不定型流感嗜血杆菌,不定型流感嗜血杆菌,exact,1.0
泼尼松,泼尼松,exact,1.0
林可霉素,林可霉素,exact,1.0
氧饱和度降低,氧饱和度降低,exact,1.0
primaxin,primaxin,exact,1.0
蜂窝肺,蜂窝肺,exact,1.0
斑丘疹,斑丘疹,exact,1.0
美洛培南,美洛培南,exact,1.0
红肿,红肿,exact,1.0
间质性肺疾病,间质性肺疾病,exact,1.0
侵袭性曲霉菌病,侵袭性曲霉菌病,exact,1.0
鼻中隔穿孔,鼻中隔穿孔,exact,1.0
哌替啶,哌替啶,exact,1.0
瘀斑,瘀斑,exact,1.0
肺炎支原体,肺炎支原体,exact,1.0
黏膜,黏膜,exact,1.0
肾活检,肾活检,exact,1.0
不明原因发热,不明原因发热,exact,1.0
头孢米诺,头孢米诺,exact,1.0
吲哚美辛,吲哚美辛,exact,1.0
两性霉素b脂质体,康丽能,llm,0.7
粒细胞减少,粒细胞减少,exact,1.0
肌肉疼痛,肌肉疼痛,exact,1.0
头孢唑林,头孢唑林,exact,1.0
caspofungin,caspofungin,exact,1.0
fungal pneumonia,fungal pneumonia,exact,1.0
休克,休克,exact,1.0
双氯西林,双氯西林,exact,1.0
基本药物,基本药物,exact,1.0
靶向治疗,靶向治疗,exact,1.0
苯海拉明,苯海拉明,exact,1.0
随机,随机,exact,1.0
恩卡胺,恩卡胺,exact,1.0
黏膜型孢子丝菌病,黏膜型孢子丝菌病,exact,1.0
凝血功能,凝血功能,exact,1.0
恶心呕吐,恶心呕吐,exact,1.0
肝炎,肝炎,exact,1.0
眼睑下垂,眼睑下垂,exact,1.0
全身治疗,全身治疗,exact,1.0
丁丙诺啡,丁丙诺啡,exact,1.0
咳嗽变异性哮喘,咳嗽变异性哮喘,exact,1.0
血液科,血液科,exact,1.0
软弱,软弱,exact,1.0
柯萨奇病毒急性支气管炎,柯萨奇病毒急性支气管炎,exact,1.0
免疫接种,免疫接种,exact,1.0
慢阻肺,慢阻肺,exact,1.0
阿米卡星,阿米卡星,exact,1.0
生物制剂,生物制剂,exact,1.0
血管,血管,exact,1.0
腺样体肥大,腺样体肥大,exact,1.0
人工喂养,人工喂养,exact,1.0
舌炎,舌炎,exact,1.0
咪喹莫特,咪喹莫特,exact,1.0
星形诺卡菌,星形诺卡菌,exact,1.0
铜绿假单胞菌,铜绿假单胞菌,exact,1.0
主要为变应性哮喘,主要为变应性哮喘,exact,1.0
ampicillin,ampicillin,exact,1.0
慢性肺部疾病,慢性肺部疾病,exact,1.0
bronchopneumonia,bronchopneumonia,exact,1.0
白假丝酵母,白假丝酵母,exact,1.0
血管炎综合征,血管炎综合征,exact,1.0
严重并发症,严重并发症,exact,1.0
疱疹,疱疹,exact,1.0
膈膨升,膈膨升,exact,1.0
畏光,畏光,exact,1.0
细菌学培养,细菌学培养,exact,1.0
流浪者,流浪者,exact,1.0
胃灼热,胃灼热,exact,1.0
芽生菌性皮炎,芽生菌性皮炎,exact,1.0
慢性鼻咽炎,慢性鼻咽炎,exact,1.0
硫酸黏菌素,硫酸黏菌素,exact,1.0
曲霉球,曲霉球,exact,1.0
rifampin,rifampin,exact,1.0
活检,活检,exact,1.0
血钾,血钾,exact,1.0
大肠埃希菌,大肠埃希菌,exact,1.0
葡萄糖,葡萄糖,exact,1.0
气管食管瘘,气管食管瘘,exact,1.0
胸部ct检查,胸部ct检查,exact,1.0
甘露醇,甘露醇,exact,1.0
肺气肿,肺气肿,exact,1.0
组织病理学,组织病理学,exact,1.0
支持治疗,支持治疗,exact,1.0
皮质类固醇,皮质类固醇,exact,1.0
头孢西丁钠,头孢西丁钠,exact,1.0
自身免疫性疾病,自身免疫性疾病,exact,1.0
cat,cat,exact,1.0
acute mediastinitis,acute mediastinitis,exact,1.0
南美洲,南美洲,exact,1.0
细菌,细菌,exact,1.0
细胞学检查,细胞学检查,exact,1.0
zinacef,zinacef,exact,1.0
pct,pct,exact,1.0
口腔炎,口腔炎,exact,1.0
副流感嗜血杆菌,副流感嗜血杆菌,exact,1.0
噻苯达唑,噻苯达唑,exact,1.0
pc,pc,exact,1.0
物理治疗,物理治疗,exact,1.0
角膜结膜炎,角膜结膜炎,exact,1.0
浸润,浸润,exact,1.0
精神症状,精神症状,exact,1.0
心肌炎,心肌炎,exact,1.0
免疫球蛋白,免疫球蛋白,exact,1.0
去羟肌苷,去羟肌苷,exact,1.0
第三代头孢菌素,第三代头孢菌素,exact,1.0
会诊,会诊,exact,1.0
灭活疫苗,灭活疫苗,exact,1.0
军团菌肺炎,军团菌肺炎,exact,1.0
抗体检测,抗体检测,exact,1.0
复方磺胺甲噁唑,复方磺胺甲噁唑,exact,1.0
mucormycosis,mucormycosis,exact,1.0
biapenem,biapenem,exact,1.0
多器官功能障碍,多器官功能障碍,exact,1.0
比阿培南,比阿培南,exact,1.0
糖浆,糖浆,exact,1.0
腹部压痛,腹部压痛,exact,1.0
对症处理,对症处理,exact,1.0
抗菌治疗,抗菌治疗,exact,1.0
抗生素治疗,抗生素治疗,exact,1.0
摩氏摩根菌,摩氏摩根菌,exact,1.0
被动吸烟,被动吸烟,exact,1.0
瘀点,瘀点,exact,1.0
x线,x线,exact,1.0
其他药物,其他药物,exact,1.0
脓肿,脓肿,exact,1.0
血压下降,血压下降,exact,1.0
制霉菌素片,制霉菌素片,exact,1.0
咳脓痰,咳脓痰,exact,1.0
蜱,蜱,exact,1.0
肺泡微结石症,肺泡微结石症,exact,1.0
副流感病毒急性支气管炎,副流感病毒急性支气管炎,exact,1.0
炭疽,炭疽,exact,1.0
慢性肺血栓栓塞急性再发,慢性肺血栓栓塞急性再发,exact,1.0
替考拉宁,替考拉宁,exact,1.0
心率增快,心率增快,exact,1.0
流行性出血热,流行性出血热,exact,1.0
体格检查,体格检查,exact,1.0
介入治疗,介入治疗,exact,1.0
米诺环素,米诺环素,exact,1.0
闭合性气胸,闭合性气胸,exact,1.0
vantin,vantin,exact,1.0
temopen,temopen,exact,1.0
胸腔闭式引流,胸腔闭式引流,exact,1.0
cpa,cpa,exact,1.0
卡维地洛,卡维地洛,exact,1.0
慢性喉炎,慢性喉炎,exact,1.0
外周水肿,外周水肿,exact,1.0
阵发性咳嗽,阵发性咳嗽,exact,1.0
可的松,可的松,exact,1.0
听力下降,听力下降,exact,1.0
先天性肺炎,先天性肺炎,exact,1.0
脱发,脱发,exact,1.0
淋巴结结核,淋巴结结核,exact,1.0
急性发作,急性发作,exact,1.0
肺部疾病,肺部疾病,exact,1.0
新生儿吸入综合征,新生儿吸入综合征,exact,1.0
疲劳,疲劳,exact,1.0
伊曲康唑胶囊,伊曲康唑胶囊,exact,1.0
感染性休克,感染性休克,exact,1.0
azactam,azactam,exact,1.0
张力性气胸,张力性气胸,exact,1.0
缺铁性贫血,缺铁性贫血,exact,1.0
呼吸变慢变浅,呼吸变慢变浅,exact,1.0
肺实变,肺实变,exact,1.0
肾病综合征,肾病综合征,exact,1.0
苯巴比妥,苯巴比妥,exact,1.0
叶酸,叶酸,exact,1.0
voriconazole,voriconazole,exact,1.0
枯草热,枯草热,exact,1.0
急性哮喘,急性哮喘,exact,1.0
哌嗪,哌嗪,exact,1.0
抗胆碱药,抗胆碱药,exact,1.0
咳,咳,exact,1.0
酶联免疫吸附试验,酶联免疫吸附试验,exact,1.0
ofloxacin,ofloxacin,exact,1.0
亚甲蓝,亚甲蓝,exact,1.0
链霉素,链霉素,exact,1.0
血吸虫病,血吸虫病,exact,1.0
