head,head_type,relation,tail,tail_type,source,description,weight
铜绿假单胞菌,其他治疗,病因,终末期肝病,疾病,guideline,"""铜绿假单胞菌是终末期肝病合并泌尿道感染的常见病原体。""",8.0
铜绿假单胞菌,其他治疗,病因,泌尿道感染,疾病,guideline,"""铜绿假单胞菌是泌尿道感染的常见病原体。""",9.0
铜绿假单胞菌,其他治疗,病因,胆道感染,疾病,guideline,"""铜绿假单胞菌是胆道感染的常见病原体之一，经验性治疗需覆盖。""",8.0
铜绿假单胞菌,其他治疗,病因,重症医院获得性肺炎,其他治疗,guideline,"""铜绿假单胞菌是重症医院获得性肺炎的常见病原体之一。""",8.0
铜绿假单胞菌,其他治疗,病因,皮肤软组织感染,疾病,guideline,"""铜绿假单胞菌可与鲍曼不动杆菌合并引起皮肤软组织感染。""<SEP>""铜绿假单胞菌是ESLD合并皮肤软组织感染的常见病原菌之一。""",14.0
铜绿假单胞菌,其他治疗,敏感性,阿米卡星（amikacin）,西药,guideline,"""阿米卡星针对铜绿假单胞菌有特定的MIC值（≤16 μg/mL）。""",8.0
铜绿假单胞菌,其他治疗,敏感性,氨曲南（aztreonam）,西药,guideline,"""氨曲南针对铜绿假单胞菌有特定的MIC值（≤8 μg/mL）。""",8.0
铜绿假单胞菌,其他治疗,敏感性,头孢吡肟（cefepime）,西药,guideline,"""头孢吡肟针对铜绿假单胞菌有特定的MIC值（≤8 μg/mL）。""",8.0
铜绿假单胞菌,其他治疗,敏感性,头孢他啶（ceftazidime）,西药,guideline,"""头孢他啶针对铜绿假单胞菌有特定的MIC值（≤8 μg/mL）。""",8.0
铜绿假单胞菌,其他治疗,敏感性,环丙沙星（ciprofloxacin）,西药,guideline,"""环丙沙星针对铜绿假单胞菌有特定的MIC值（≤0.5 μg/mL）。""",8.0
铜绿假单胞菌,其他治疗,敏感性,头孢美罗（meropenem）,西药,guideline,"""头孢美罗针对铜绿假单胞菌有特定的MIC值（≤2 μg/mL）。""",8.0
铜绿假单胞菌,其他治疗,检查,bcye培养基,其他治疗,guideline,"""铜绿假单胞菌的诊断可能需要BCYE培养基。""",6.0
铜绿假单胞菌,其他治疗,检查,尿液抗原检测,检查,guideline,"""尿液抗原检测是检测铜绿假单胞菌的方法之一。",9.0
铜绿假单胞菌,其他治疗,检查,革兰氏染色,检查,guideline,"""革兰氏染色是检测铜绿假单胞菌的方法之一。<SEP>""革兰氏染色是诊断铜绿假单胞菌的方法之一。""",17.0
铜绿假单胞菌,其他治疗,检查,需氧细菌培养,检查,guideline,"""需氧细菌培养是检测铜绿假单胞菌的方法之一。",8.0
铜绿假单胞菌,其他治疗,检查,咳痰,症状,guideline,"""咳痰是检测铜绿假单胞菌的样本来源之一。",9.0
铜绿假单胞菌,其他治疗,检查,血液培养,检查,guideline,"""血液培养是诊断铜绿假单胞菌的方法之一。""",9.0
铜绿假单胞菌,其他治疗,病因,绿脓杆菌性肺炎,疾病,guideline,"""铜绿假单胞菌（绿脓杆菌）是引起绿脓杆菌性肺炎的病原体。""",18.0
铜绿假单胞菌,其他治疗,病因,铜绿假单胞菌性肺炎,疾病,guideline,"""铜绿假单胞菌是引起铜绿假单胞菌性肺炎的病原体。""",18.0
铜绿假单胞菌,其他治疗,病因,hap,疾病,guideline,"""铜绿假单胞菌是HAP的常见病原体之一。""",9.0
铜绿假单胞菌,其他治疗,病因,外耳炎,其他治疗,guideline,"""铜绿假单胞菌是外耳炎（尤其是坏死性外耳炎）的主要病原体。""<SEP>""铜绿假单胞菌是引起外耳炎的常见病原体之一。""",26.0
铜绿假单胞菌,其他治疗,病因,慢性化脓性中耳炎,疾病,guideline,"""铜绿假单胞菌是慢性化脓性中耳炎的常见病原体。""",9.0
铜绿假单胞菌,其他治疗,病因,细菌性脑膜炎,疾病,guideline,"""铜绿假单胞菌是引起细菌性脑膜炎的革兰氏阴性杆菌之一。""",8.0
铜绿假单胞菌,其他治疗,病因,社区获得性肺炎（cap）,疾病,guideline,"""铜绿假单胞菌是CAP的常见病原体。""<SEP>""铜绿假单胞菌是CAP的病原体之一（虽未明确提及，但属于常见传染性病原体）。""<SEP>""铜绿假单胞菌是社区获得性肺炎（CAP）的致病菌，需关注有感染危险因素的患者。""",229.0
铜绿假单胞菌,其他治疗,易感人群,吸入风险因素,流行病学,guideline,"""有吸入风险因素的患者需关注铜绿假单胞菌感染。""",8.0
铜绿假单胞菌,其他治疗,治疗,哌拉西林/舒巴坦,西药,guideline,"""哌拉西林/舒巴坦具有抗铜绿假单胞菌活性，用于治疗铜绿假单胞菌感染。""",10.0
铜绿假单胞菌,其他治疗,治疗,亚胺培南/西司他丁,西药,guideline,"""亚胺培南/西司他丁具有抗铜绿假单胞菌活性。""<SEP>""亚胺培南/西司他丁具有抗铜绿假单胞菌活性，用于治疗铜绿假单胞菌感染。""<SEP>""亚胺培南/西司他丁对铜绿假单胞菌有良好抗菌活性，常用于治疗铜绿假单胞菌感染。""",28.0
铜绿假单胞菌,其他治疗,易感人群,结构性肺病,疾病,guideline,"""结构性肺病患者易发生铜绿假单胞菌感染。""",7.0
铜绿假单胞菌,其他治疗,易感人群,慢性气道疾病,其他治疗,guideline,"""慢性气道疾病患者因反复使用抗菌药物或糖皮质激素，易发生铜绿假单胞菌感染。""",7.0
铜绿假单胞菌,其他治疗,危险因素,气道铜绿假单胞菌定植,其他治疗,guideline,"""气道铜绿假单胞菌定植是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,危险因素,糖皮质激素,其他治疗,guideline,"""长期使用糖皮质激素可增加铜绿假单胞菌感染风险。""",6.0
铜绿假单胞菌,其他治疗,易感人群,结构性肺病患者,其他治疗,guideline,"""结构性肺病患者易发生铜绿假单胞菌感染。""",7.0
铜绿假单胞菌,其他治疗,发病部位,气道,部位,guideline,"""气道是铜绿假单胞菌定植的部位。""",8.0
铜绿假单胞菌,其他治疗,推荐用药,抗铜绿假单胞菌活性的β-内酰胺类抗生素,其他治疗,guideline,"""抗铜绿假单胞菌活性的β-内酰胺类抗生素是治疗铜绿假单胞菌感染的首选药物。""",10.0
铜绿假单胞菌,其他治疗,推荐用药,抗假单胞菌活性的喹诺酮类,其他治疗,guideline,"""抗假单胞菌活性的喹诺酮类是治疗铜绿假单胞菌感染的首选药物。""",10.0
铜绿假单胞菌,其他治疗,相关指南,联合治疗,其他治疗,guideline,"""联合治疗是怀疑铜绿假单胞菌感染时的指南建议。""",9.0
铜绿假单胞菌,其他治疗,推荐用药,抗铜绿假单胞菌β-内酰胺类加酶抑制剂复合制剂,其他治疗,guideline,"""抗铜绿假单胞菌β-内酰胺类加酶抑制剂复合制剂是治疗铜绿假单胞菌感染的药物。""",10.0
铜绿假单胞菌,其他治疗,相关疾病,复杂性慢性阻塞性肺疾病,其他治疗,guideline,"""复杂性慢性阻塞性肺疾病患者急性加重时，铜绿假单胞菌是需覆盖的重要病原体。""",8.0
铜绿假单胞菌,其他治疗,治疗,头孢噻利,西药,guideline,"""头孢噻利具有抗铜绿假单胞菌活性。""<SEP>""头孢噻利是治疗铜绿假单胞菌感染的常用药物。""<SEP>""头孢噻利用于治疗铜绿假单胞菌感染。""",25.0
铜绿假单胞菌,其他治疗,治疗,异帕米星,西药,guideline,"""异帕米星具有抗铜绿假单胞菌活性。""",9.0
铜绿假单胞菌,其他治疗,危险因素,近期住院史,其他治疗,guideline,"""近期住院史是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,危险因素,近期抗菌药物应用史,其他治疗,guideline,"""近期抗菌药物应用史是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,危险因素,极重度慢性阻塞性肺疾病,其他治疗,guideline,"""极重度慢性阻塞性肺疾病是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,危险因素,使用皮质激素,其他治疗,guideline,"""使用皮质激素是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,检查,分离培养出铜绿假单胞菌,其他治疗,guideline,"""分离培养出铜绿假单胞菌提示该菌存在，需结合临床判断是否为感染。""",9.0
铜绿假单胞菌,其他治疗,相关疾病,支气管扩张急性加重,其他治疗,guideline,"""铜绿假单胞菌是支气管扩张急性加重的常见病原体，尤其在有危险因素的患者中。""",9.0
铜绿假单胞菌,其他治疗,推荐用药,抗假单胞菌β-内酰胺类,西药,guideline,"""抗假单胞菌β-内酰胺类抗生素是治疗铜绿假单胞菌感染的首选药物。""<SEP>""抗假单胞菌β-内酰胺类用于治疗铜绿假单胞菌感染。""",18.0
铜绿假单胞菌,其他治疗,联合用药,联合环丙沙星或氨基糖苷类,其他治疗,guideline,"""联合环丙沙星或氨基糖苷类可增强对铜绿假单胞菌的杀菌效果。""<SEP>""联合环丙沙星或氨基糖苷类治疗铜绿假单胞菌。""",16.0
铜绿假单胞菌,其他治疗,相关疾病,腹膜透析相关腹膜炎,疾病,guideline,"""铜绿假单胞菌是腹膜透析相关腹膜炎的病原体之一。""",14.0
铜绿假单胞菌,其他治疗,病因,足底钉刺,其他治疗,guideline,"""足底钉刺常导致铜绿假单胞菌感染，引发骨髓炎。""",8.0
铜绿假单胞菌,其他治疗,相关疾病,坏死性外耳道炎,其他治疗,guideline,"""铜绿假单胞菌是坏死性恶性外耳道炎的主要病原体。""",9.0
铜绿假单胞菌,其他治疗,相关疾病,脑脓肿,疾病,guideline,"""铜绿假单胞菌是脑脓肿的潜在病原体，需经验性覆盖。""",7.0
铜绿假单胞菌,其他治疗,耐药性,多重耐药（mdr）,流行病学,guideline,"""铜绿假单胞菌易出现多重耐药（MDR），治疗需联合用药。""",8.0
铜绿假单胞菌,其他治疗,危险因素,气管切开,手术治疗,guideline,"""气管切开是铜绿假单胞菌感染的危险因素。""<SEP>""气管切开是铜绿假单胞菌感染的危险因素之一。""",14.0
铜绿假单胞菌,其他治疗,危险因素,机械通气,诊疗技术及设备,guideline,"""机械通气是铜绿假单胞菌感染的危险因素。""<SEP>""机械通气是铜绿假单胞菌感染的危险因素之一。""",14.0
铜绿假单胞菌,其他治疗,易感人群,囊性肺纤维化,疾病,guideline,"""囊性肺纤维化患者易发生铜绿假单胞菌感染。""<SEP>""铜绿假单胞菌是囊性纤维化患者肺部感染的常见病原体。""<SEP>""铜绿假单胞菌是囊性肺纤维化患者后期肺部感染的常见病原体，需联合治疗。""",27.0
铜绿假单胞菌,其他治疗,给药途径,吸入抗菌,其他治疗,guideline,"""吸入抗菌常用于铜绿假单胞菌肺部感染。""",8.0
铜绿假单胞菌,其他治疗,治疗,长期抑制,其他治疗,guideline,"""长期抑制常用于铜绿假单胞菌感染的治疗。""",8.0
铜绿假单胞菌,其他治疗,病因,铜绿假单胞菌感染,疾病,guideline,"""铜绿假单胞菌感染由铜绿假单胞菌引起。""",9.0
铜绿假单胞菌,其他治疗,替代用药,托氟沙星,西药,guideline,"""Tosufloxacin is an alternative treatment for resistant Pseudomonas aeruginosa infections.""",16.0
铜绿假单胞菌,其他治疗,流行病学,医院获得性,其他治疗,guideline,"""铜绿假单胞菌是医院获得性血流感染的常见病原体，对多种抗生素耐药。""",18.0
铜绿假单胞菌,其他治疗,分类,微生物,病原体,guideline,"""铜绿假单胞菌是微生物（细菌）的一种。""",10.0
铜绿假单胞菌,其他治疗,推荐用药,头孢他啶-阿维巴坦,其他治疗,guideline,"""头孢他啶-阿维巴坦是治疗耐药铜绿假单胞菌感染的首选药物之一。""<SEP>""头孢他啶-阿维巴坦用于治疗产KPC或金属碳青霉烯酶的铜绿假单胞菌耐药菌株。""",18.0
铜绿假单胞菌,其他治疗,推荐用药,美洛培南-伐博巴坦,西药,guideline,"""美洛培南-伐博巴坦是治疗耐药铜绿假单胞菌感染的首选药物之一。""",9.0
铜绿假单胞菌,其他治疗,推荐用药,亚胺培南-利巴克坦,西药,guideline,"""亚胺培南-利巴克坦是治疗耐药铜绿假单胞菌感染的首选药物之一。""",9.0
铜绿假单胞菌,其他治疗,推荐用药,头孢洛扎-他唑巴坦,西药,guideline,"""头孢洛扎-他唑巴坦被建议用于治疗具有体外活性的耐药铜绿假单胞菌。""",8.0
铜绿假单胞菌,其他治疗,分类,碳青霉烯类耐药革兰阴性菌,病原体,guideline,"""铜绿假单胞菌是碳青霉烯类耐药革兰阴性菌的一种。""<SEP>""铜绿假单胞菌是碳青霉烯类耐药革兰阴性菌的常见病原体之一。""",18.0
铜绿假单胞菌,其他治疗,治疗,多黏菌素类药物,西药,guideline,"""多黏菌素类药物对铜绿假单胞菌具有抗菌活性，铜绿假单胞菌是其敏感目标致病菌之一。""<SEP>""多黏菌素类药物用于治疗铜绿假单胞菌引起的感染。""<SEP>""多黏菌素类药物适用于治疗由铜绿假单胞菌等敏感菌引起的感染。""<SEP>""铜绿假单胞菌对硫酸多黏菌素B 耐药率为 0.8%。""<SEP>""铜绿假单胞菌对硫酸多黏菌素B的耐药率为0.8%。""<SEP>""铜绿假单胞菌是Girardello等研究中的一种细菌，涉及多黏菌素类药物的检测。""<SEP>""铜绿假单胞菌是文中多次提到的细菌，对多黏菌素类药物的耐药率较低。""",57.0
铜绿假单胞菌,其他治疗,耐药性,硫酸多黏菌素b,西药,guideline,"""铜绿假单胞菌对硫酸多黏菌素B的耐药率为0.8%。""",8.0
铜绿假单胞菌,其他治疗,相关,标准微量肉汤稀释法（bmd）,检查,guideline,"""铜绿假单胞菌是Girardello等研究中涉及的细菌，使用标准微量肉汤稀释法（BMD）进行比较。""",8.0
铜绿假单胞菌,其他治疗,检查,mic,其他治疗,guideline,"""铜绿假单胞菌对多黏菌素类药物的药敏折点为MIC≤2 mg/L。""",9.0
铜绿假单胞菌,其他治疗,相关疾病,皮肤感染,疾病,guideline,"""铜绿假单胞菌是皮肤感染的病原体之一。""",8.0
铜绿假单胞菌,其他治疗,临床表现,黄绿色或翠绿色痰液,症状,guideline,"""黄绿色或翠绿色痰液提示铜绿假单胞菌感染。""",18.0
铜绿假单胞菌,其他治疗,分类,假单胞科细菌,病原体,guideline,"""铜绿假单胞菌是假单胞科细菌的一种。""",18.0
铜绿假单胞菌,其他治疗,相关疾病,crpa,病原体,guideline,"""CRPA是由铜绿假单胞菌引起的。""<SEP>""CRPA是由铜绿假单胞菌引起的感染。""<SEP>""CRPA是铜绿假单胞菌的一种耐药类型，是粒缺伴发热患者面临的挑战。""",28.0
铜绿假单胞菌,其他治疗,分类,耐药非发酵菌,其他治疗,guideline,"""铜绿假单胞菌是耐药非发酵菌的一种。""",9.0
铜绿假单胞菌,其他治疗,敏感性,imipenem,西药,guideline,"""Imipenem is active against Pseudomonas aeruginosa with an MIC of ≤2 μg/mL.""",9.0
铜绿假单胞菌,其他治疗,敏感性,亚胺培南-瑞丽巴坦,西药,guideline,"""The combination of imipenem and relebactam is active against Pseudomonas aeruginosa with an MIC of ≤2/4 μg/mL.""",9.0
铜绿假单胞菌,其他治疗,敏感性,哌拉西林-他唑巴坦,其他治疗,guideline,"""The combination of piperacillin and tazobactam is active against Pseudomonas aeruginosa with an MIC of ≤16/4 μg/mL.""<SEP>""哌拉西林-他唑巴坦可用于治疗铜绿假单胞菌感染。""<SEP>""哌拉西林-他唑巴坦用于治疗轻症铜绿假单胞菌感染。""<SEP>""哌拉西林-他唑巴坦用于铜绿假单胞菌感染，剂量为3.375g，静脉注射，每6小时一次。""",35.0
铜绿假单胞菌,其他治疗,适应症,ceftazidime-avibactam,西药,guideline,"""Ceftazidime-avibactam用于治疗铜绿假单胞菌感染，其MIC断点为≤ 8/4 μg/mL。""",9.0
铜绿假单胞菌,其他治疗,适应症,ceftolozane-tazobactam,西药,guideline,"""Ceftolozane-tazobactam用于治疗铜绿假单胞菌感染，其MIC断点为≤ 4/4 μg/mL。""",9.0
铜绿假单胞菌,其他治疗,适应症,黏菌素或多粘菌素b,其他治疗,guideline,"""黏菌素或多粘菌素B用于治疗铜绿假单胞菌感染，其MIC断点为4 μg/mL。""",9.0
铜绿假单胞菌,其他治疗,适应症,imipenem-relebactam,西药,guideline,"""Imipenem-relebactam用于治疗铜绿假单胞菌感染，其MIC断点为≤ 2/4 μg/mL。""",9.0
铜绿假单胞菌,其他治疗,适应症,哌拉西林-三唑巴坦,其他治疗,guideline,"""哌拉西林-三唑巴坦用于治疗铜绿假单胞菌感染，其MIC断点为≤ 16/4 μg/mL。""",9.0
铜绿假单胞菌,其他治疗,发病部位,肝脏手术,其他治疗,guideline,"""铜绿假单胞菌是肝脏手术中常见的手术部位感染病原体。""",16.0
铜绿假单胞菌,其他治疗,发病部位,肾脏手术,其他治疗,guideline,"""铜绿假单胞菌是肾脏手术中常见的手术部位感染病原体。""",16.0
铜绿假单胞菌,其他治疗,发病部位,肺部手术,其他治疗,guideline,"""铜绿假单胞菌是肺部手术中常见的手术部位感染病原体。""",16.0
铜绿假单胞菌,其他治疗,相关疾病,骨髓炎,其他治疗,guideline,"""铜绿假单胞菌是足骨髓炎的常见病原体。""<SEP>""铜绿假单胞菌是骨髓炎的常见病原体，特别是足骨髓炎和脊柱植入物感染。""",16.0
铜绿假单胞菌,其他治疗,相关疾病,慢性骨髓炎,疾病,guideline,"""铜绿假单胞菌是慢性骨髓炎的常见病原体之一。""",8.0
铜绿假单胞菌,其他治疗,相关疾病,分流相关脑膜炎,疾病,guideline,"""铜绿假单胞菌是分流相关脑膜炎的兼性和需氧革兰阴性杆菌病原体。""",8.0
铜绿假单胞菌,其他治疗,相关疾病,脑膜炎,其他治疗,guideline,"""铜绿假单胞菌是引起细菌性脑膜炎的病原体之一，尤其在特定人群中。""",7.0
铜绿假单胞菌,其他治疗,相关疾病,坏死性外耳炎,疾病,guideline,"""铜绿假单胞菌是坏死性外耳炎的主要病原体，占95%以上。""",9.0
铜绿假单胞菌,其他治疗,相关疾病,慢性中耳炎,疾病,guideline,"""铜绿假单胞菌是慢性中耳炎急性加重的常见病原体。""",9.0
铜绿假单胞菌,其他治疗,易感人群,隐形眼镜使用者,其他治疗,guideline,"""隐形眼镜使用者易感染铜绿假单胞菌，需进行拭子培养和药敏试验。""",16.0
铜绿假单胞菌,其他治疗,传播途径,黏膜,部位,guideline,"""铜绿假单胞菌可侵入黏膜。""",8.0
铜绿假单胞菌,其他治疗,相关疾病,憩室炎,疾病,guideline,"""铜绿假单胞菌是憩室炎的偶见病原体，治疗方案可能需考虑覆盖此类细菌。""",6.0
铜绿假单胞菌,其他治疗,相关疾病,复杂性尿路感染,疾病,guideline,"""复杂性尿路感染中常见铜绿假单胞菌，尤其是有尿路梗阻或留置尿管的患者。""<SEP>""铜绿假单胞菌是复杂性尿路感染的常见病原体，尤其在有尿路梗阻或留置尿管的患者中。""",280.0
铜绿假单胞菌,其他治疗,相关疾病,慢性支气管炎急性细菌性加重 (abecb),疾病,guideline,"""铜绿假单胞菌是慢性支气管炎急性细菌性加重（ABECB）的病原体之一，尤其在住院患者中风险高。""",8.0
铜绿假单胞菌,其他治疗,相关疾病,支气管扩张,疾病,guideline,"""铜绿假单胞菌是支气管扩张急性加重的常见病原体。""",8.0
铜绿假单胞菌,其他治疗,耐药性,耐药菌株,病原体,guideline,"""耐药菌株是铜绿假单胞菌治疗中的挑战。""",8.0
铜绿假单胞菌,其他治疗,治疗,表5d,指南建议,guideline,"""表5D提供铜绿假单胞菌耐药菌株的治疗方案。""",8.0
铜绿假单胞菌,其他治疗,相关指南,cid 2022； 75: 187,指南建议,guideline,"""参考文献CID 2022； 75: 187提供铜绿假单胞菌的研究支持。""",6.0
铜绿假单胞菌,其他治疗,危险因素,危险因素,流行病学,guideline,"""危险因素包括囊性纤维化、中性粒细胞缺乏、机械通气、气管切开等，增加铜绿假单胞菌感染风险。""",8.0
铜绿假单胞菌,其他治疗,危险因素,囊性纤维化,疾病,guideline,"""囊性纤维化是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,危险因素,中性粒细胞缺乏,疾病,guideline,"""中性粒细胞缺乏是铜绿假单胞菌感染的危险因素。""",8.0
铜绿假单胞菌,其他治疗,治疗,吸入制剂,其他治疗,guideline,"""吸入制剂用于长期抑制囊性肺纤维化患者的铜绿假单胞菌。""",9.0
铜绿假单胞菌,其他治疗,相关指南,囊性纤维化指南,指南建议,guideline,"""囊性纤维化指南建议铜绿假单胞菌感染应联合治疗。""",9.0
铜绿假单胞菌,其他治疗,分类,需氧革兰阴性杆菌,病原体,guideline,"""铜绿假单胞菌是需氧革兰阴性杆菌的一种。""",9.0
铜绿假单胞菌,其他治疗,治疗,亚胺培南-西司他丁,西药,guideline,"""亚胺培南-西司他丁可用于治疗铜绿假单胞菌引起的感染。""",9.0
铜绿假单胞菌,其他治疗,治疗,头孢洛扎-他唑巴坦（zerbaxa）,其他治疗,guideline,"""头孢洛扎-他唑巴坦对铜绿假单胞菌有活性，是治疗其感染的药物。""",9.0
铜绿假单胞菌,其他治疗,相关疾病,复杂性尿路感染（uti）,疾病,guideline,"""铜绿假单胞菌是复杂性尿路感染的常见病原体。""",8.0
铜绿假单胞菌,其他治疗,敏感性,磺胺嘧啶银,西药,guideline,"""磺胺嘧啶银对铜绿假单胞菌有活性。""",9.0
铜绿假单胞菌,其他治疗,发病部位,创面,部位,guideline,"""铜绿假单胞菌是烧伤创面感染的常见病原体。""",8.0
铜绿假单胞菌,其他治疗,治疗,氨曲南（cayston）,其他治疗,guideline,"""氨曲南（Cayston）可减少CF患者痰中的铜绿假单胞菌负荷。""",8.0
铜绿假单胞菌,其他治疗,治疗,多黏菌素e colistin（多黏菌素甲磺酸）,其他治疗,guideline,"""多黏菌素E Colistin（多黏菌素甲磺酸）对CF患者痰中的铜绿假单胞菌有效。""",8.0
铜绿假单胞菌,其他治疗,治疗,磷霉素十妥布霉素吸入剂（fti）,其他治疗,guideline,"""磷霉素十妥布霉素吸入剂（FTI）可减少CF患者痰中的铜绿假单胞菌负荷。""",8.0
铜绿假单胞菌,其他治疗,治疗,妥布霉素吸入剂,其他治疗,guideline,"""妥布霉素吸入剂用于治疗铜绿假单胞菌引起的慢性感染。""",9.0
铜绿假单胞菌,其他治疗,治疗,抗微生物药,西药,guideline,"""铜绿假单胞菌需使用对其有效的抗微生物药（如头孢他啶）治疗。""",9.0
铜绿假单胞菌,其他治疗,经验性治疗,抗生素治疗,西药,guideline,"""在特定情况下需要对铜绿假单胞菌进行经验性抗生素治疗。""",7.0
铜绿假单胞菌,其他治疗,易感人群,热带气候,流行病学,guideline,"""热带气候地区糖尿病足感染更可能出现铜绿假单胞菌。""",7.0
下呼吸道感染,疾病,分类,肺炎,其他治疗,guideline,"""肺炎是下呼吸道感染的一种主要类型。""",9.0
下呼吸道感染,疾病,相关疾病,支气管扩张症,疾病,guideline,"""支气管扩张症患者常合并铜绿假单胞菌下呼吸道感染。""",8.0
下呼吸道感染,疾病,临床表现,慢性阻塞性肺疾病,疾病,guideline,"""慢性阻塞性肺疾病急性加重是铜绿假单胞菌下呼吸道感染的一种表现。""",8.0
下呼吸道感染,疾病,预后,多重耐药铜绿假单胞菌,病原体,guideline,"""多重耐药铜绿假单胞菌引起的下呼吸道感染病死率高，治疗困难。""",9.0
下呼吸道感染,疾病,耐药性,碳青霉烯类耐药铜绿假单胞菌,病原体,guideline,"""碳青霉烯类耐药铜绿假单胞菌引起的下呼吸道感染治疗更为困难。""",9.0
下呼吸道感染,疾病,治疗,难治性铜绿假单胞菌,病原体,guideline,"""难治性铜绿假单胞菌引起的下呼吸道感染治疗困难。""",9.0
下呼吸道感染,疾病,治疗,吸入性抗菌药物,其他治疗,guideline,"""吸入性抗菌药物可用于铜绿假单胞菌下呼吸道感染的辅助治疗，提高局部药物浓度。""",7.0
下呼吸道感染,疾病,治疗,气道清除治疗,其他治疗,guideline,"""气道清除治疗是铜绿假单胞菌下呼吸道感染综合治疗的一部分，有助于清除气道分泌物。""",7.0
下呼吸道感染,疾病,治疗,氧疗,其他治疗,guideline,"""氧疗是铜绿假单胞菌下呼吸道感染综合治疗的一部分，用于改善患者缺氧状态。""",7.0
下呼吸道感染,疾病,治疗,营养支持,其他治疗,guideline,"""营养支持是PA下呼吸道感染综合治疗的重要组成部分，有助于增强机体免疫力。""<SEP>""营养支持是铜绿假单胞菌下呼吸道感染综合治疗的一部分，有助于增强患者免疫力。""",13.0
下呼吸道感染,疾病,治疗,器官功能保护,其他治疗,guideline,"""器官功能保护是铜绿假单胞菌下呼吸道感染综合治疗的一部分，防止多器官功能衰竭。""",7.0
下呼吸道感染,疾病,所属科室,呼吸与危重症医学科,科室,guideline,"""呼吸与危重症医学科是诊治铜绿假单胞菌下呼吸道感染的主要科室。""",9.0
下呼吸道感染,疾病,相关指南,中国铜绿假单胞菌下呼吸道感染诊治专家共识（2022年版）,指南建议,guideline,"""该共识为铜绿假单胞菌下呼吸道感染的诊治提供了规范化指导。""",9.0
下呼吸道感染,疾病,相关疾病,pa,病原体,guideline,"""PA是下呼吸道感染的重要病原体，可引起CAP、HAP等多种类型的下呼吸道感染。""",9.0
下呼吸道感染,疾病,诊断依据,胸腔积液,部位,guideline,"""胸腔积液PA阳性结合临床排除污染后可作为PA下呼吸道感染的诊断依据。""",7.0
下呼吸道感染,疾病,诊断依据,临床症状,症状,guideline,"""临床症状是判断PA下呼吸道感染的重要依据，需结合其他信息综合判断。""",8.0
下呼吸道感染,疾病,诊断依据,体征,症状,guideline,"""体征是判断PA下呼吸道感染的重要依据，需结合其他信息综合判断。""",8.0
下呼吸道感染,疾病,诊断依据,实验室检查,检查,guideline,"""实验室检查是判断PA下呼吸道感染的重要依据，需结合其他信息综合判断。""",8.0
下呼吸道感染,疾病,诊断依据,影像学改变,检查,guideline,"""影像学改变是判断PA下呼吸道感染的重要依据，需结合其他信息综合判断。""",8.0
下呼吸道感染,疾病,诊断依据,高危因素,流行病学,guideline,"""高危因素是判断PA下呼吸道感染的重要依据，需结合其他信息综合判断。""",7.0
下呼吸道感染,疾病,注意事项,定植,流行病学,guideline,"""在下呼吸道感染中，需区分PA定植和感染，避免仅依据培养结果治疗。""",8.0
下呼吸道感染,疾病,易感人群,粒细胞缺乏,症状,guideline,"""粒细胞缺乏患者PA下呼吸道感染风险极高，需进行相对积极的治疗。""",8.0
下呼吸道感染,疾病,易感人群,脏器功能衰竭,疾病,guideline,"""脏器功能衰竭患者PA下呼吸道感染风险增加，治疗需综合考虑脏器功能。""",7.0
下呼吸道感染,疾病,易感人群,结构性肺病,疾病,guideline,"""结构性肺病患者易发生PA下呼吸道感染，且易反复发作。""",8.0
下呼吸道感染,疾病,相关疾病,cap,诊疗技术及设备,guideline,"""CAP是PA下呼吸道感染的一种类型，治疗目标包括症状缓解、病原菌清除和病灶消散。""",8.0
下呼吸道感染,疾病,相关疾病,hap,疾病,guideline,"""HAP是PA下呼吸道感染的一种类型，治疗目标包括症状缓解、病原菌清除和病灶消散。""",8.0
下呼吸道感染,疾病,治疗,mdr-pa,疾病,guideline,"""MDR-PA引起的下呼吸道感染治疗面临挑战，需根据药敏检测结果选择抗PA活性强的抗菌药物进行联合治疗。""",9.0
下呼吸道感染,疾病,治疗,xdr/pdr-pa,病原体,guideline,"""XDR/PDR-PA引起的下呼吸道感染治疗选择非常有限，新型抗菌药物品种很少。""",8.0
下呼吸道感染,疾病,治疗,dtr-pa,疾病,guideline,"""DTR-PA引起的下呼吸道感染治疗可考虑吸入抗菌药物作为静脉或口服治疗的补充。""",7.0
下呼吸道感染,疾病,推荐用药,β-内酰胺类,西药,guideline,"""β-内酰胺类抗菌药物是治疗PA下呼吸道感染的常用药物，具有较强的抗PA活性。""",8.0
下呼吸道感染,疾病,推荐用药,哌拉西林,西药,guideline,"""哌拉西林是治疗PA下呼吸道感染的基础用药之一，具有较强的抗PA活性。""",8.0
