name,name_raw,entity_type_unified,description
念珠菌,念珠菌,病原体,"念珠菌是一类酵母样真菌，属于常见的条件致病性真菌，是深部真菌感染的常见病原体。作为酵母菌的一种，念珠菌在免疫抑制患者（如造血干细胞移植患者）中易引起侵袭性念珠菌病。念珠菌是真菌血症（念珠菌血症）的常见病原体，可导致血流感染，且获得性耐药有增多趋势，因此推荐进行体外抗真菌药敏实验。

主要菌种包括白念珠菌（Candida albicans）、光滑念珠菌（Candida glabrata）、克柔念珠菌（Candida krusei）、近平滑念珠菌（Candida parapsilosis）和热带念珠菌（Candida tropicalis），其中白念珠菌、近平滑念珠菌和热带念珠菌通常对氟康唑敏感。然而，关于ISA（可能指某种特定的药敏试验或标准）对其的临床折点尚未建立。

在感染类型方面，念珠菌可引起多种侵袭性真菌病，包括外阴阴道炎（主要由白念珠菌和光滑念珠菌引起）、膀胱炎、肾炎、眼内炎/视网膜炎、心内膜炎、念珠菌心包炎，以及侵袭性皮肤软组织感染、关节腔感染、骨髓及泌尿系统感染。此外，念珠菌是腹腔感染的病原体之一，可作为继发性或二重感染的病原体，常见于长期使用广谱抗菌药物或免疫力低下的患者"
结核分枝杆菌,结核分枝杆菌,病原体,"结核分枝杆菌（Mycobacterium tuberculosis，简称MTB）是引起结核病的病原体，属于分枝杆菌属，是一种抗酸杆菌。作为《细菌优先病原体清单》中的关键优先级病原体，它是肺结核的主要致病菌，也是引起严重肺结核（包括慢性呼吸道感染）的主要原因。结核分枝杆菌主要通过呼吸道飞沫（空气/气溶胶）传播。

结核分枝杆菌主要侵犯肺部，引起肺结核；同时，它也可侵袭其他多个脏器，引起多种肺外结核，包括腹腔结核（表现为慢性腹腔感染，需与普通细菌性腹腔感染鉴别）、眼部结核、腹膜透析相关腹膜炎（较少见）、前列腺炎、脑膜炎（导致结核性脑膜炎）以及椎体骨髓炎（在高流行区是常见病原体）。在免疫受损患者（如ESLD合并感染）中需特别考虑，但经验性治疗通常不覆盖该菌。

在诊断方面，结核分枝杆菌的检测通常需要抗酸杆菌（AFB）染色和培养，其中培养是诊断的金标准。此外，核酸扩增检测（NAATs）和干扰素-γ释放试验（如IGRA/T-SPOT.TB）也可提供辅助信息，但文中提及NAATs在研究中的敏感性较低，而AFB涂片和NAAT的敏感性和特异性也需结合临床判断。检测靶标包括IS6110基因和rpoB基因"
非结核分枝杆菌,非结核分枝杆菌,病原体,"""Non-tuberculous mycobacteria, which can cause co-infections or secondary infections in patients with severe pulmonary tuberculosis, requiring differentiation from Mycobacterium tuberculosis.""<SEP>""Non-tuberculous mycobacteria, which can cause co-infections or secondary infections in patients with severe pulmonary tuberculosis, requiring differentiation from Mycobacterium tuberculosis.""<SEP>""一类除结核分枝杆菌外的分枝杆菌，可引起免疫受损患者感染。""<SEP>""除结核分枝杆菌外的分枝杆菌，在慢性肺病患者中重要。""<SEP>""非结核分枝杆菌包括快生长型和慢生长型，替加环素、奥马环素和依拉环素可用于快生"
液体复苏,液体复苏,诊疗技术及设备,"""液体复苏是感染性休克患者的重要治疗措施。""<SEP>""液体复苏是感染性休克患者的重要治疗措施，用于恢复血容量。""<SEP>""液体复苏是腹腔感染治疗中的器官功能支持措施之一，与感染源控制和抗菌药物应用共同构成治疗方案。""<SEP>""液体复苏是指通过输液补充血容量，是治疗败血症等疾病的重要措施。""<SEP>""液体复苏是通过快速补液恢复循环血量的治疗方法，常用于休克和严重感染的早期处理。""<SEP>""通过补充液体恢复循环容量的治疗措施。""<SEP>""液体复苏是治疗休克（如感染性休克）的基础措施，通过补充液体恢复有效循环血量，改善组织灌注。"""
器官功能支持,器官功能支持,其他治疗,"""器官功能支持是腹腔感染治疗的重要组成部分，包括液体复苏等措施。"""
感染源控制,感染源控制,指南建议,"""感染源控制是治疗感染的关键措施，包括手术或置管引流等。""<SEP>""感染源控制是腹腔感染治疗的关键，包括外科治疗（如穿刺引流、切除、清创）等，目的是通过控制感染源来减少细菌和毒素的负荷，改善局部微环境，为全身治疗如抗菌药物应用等提供基础。""<SEP>""通过手术或引流等方式去除感染灶，是治疗复杂性感染的重要措施。""<SEP>""感染源控制是治疗感染的关键措施，包括拔除导管、引流脓肿、清创坏死组织等，以去除感染灶，提高疗效。"""
积液,积液,部位,"""积液是腹腔感染的一种表现形式，可通过超声或CT检查发现。"""
肠襻间,肠襻间,部位,"""肠襻间是腹腔的一个解剖区域，腹腔脓肿可能位于此处，但超声检查不易发现。"""
深部,深部,部位,"""深部是腹腔的一个解剖区域，腹腔脓肿可能位于此处，但超声检查不易发现。"""
腹膜后,腹膜后,部位,"""腹膜后是淋巴瘤累及腹腔淋巴结时的常见部位，表现为多发淋巴结肿大，需与TM病鉴别。""<SEP>""腹膜后是腹腔的一个解剖区域，腹腔脓肿可能位于此处，但超声检查不易发现。""<SEP>""腹膜后是腹膜后方的区域，可能受结核病影响。"""
蜂窝织炎,蜂窝织炎,疾病,"""Cellulitis (蜂窝织炎) is a skin and soft tissue infection treated with antibiotics like aminoglycosides and β-lactams.""<SEP>""一种深部软组织感染，多由金黄色葡萄球菌或化脓性链球菌引起。轻度可外用或口服药物，中重度需静脉注射。""<SEP>""蜂窝织炎是腹腔感染的一种表现形式，但超声检查不易发现。""<SEP>""一种皮肤感染类型，取样方法为穿刺针抽吸组织，但培养阳性率较低。""<SEP>""一种由细菌引起的皮肤和皮下组织弥漫性炎症，常见于四肢。""<SEP>""蜂窝织炎是软组织感染，在糖尿病足感染中表现为感染广泛超过2厘米或迅速进展"""
心血管系统,心血管系统,指南建议,"""心血管系统是膦甲酸钠、伏立康唑等药物不良反应的靶系统，需监测血压和心电图。""<SEP>""心血管系统是评分系统的一部分，其评分基于平均动脉压及药物使用。"""
中枢神经系统,中枢神经系统,部位,"The central nervous system (CNS), which includes the brain and spinal cord, serves as the body's control center and is a primary target for various infections, diseases, and drug reactions. It is frequently affected by infectious agents, including cytomegalovirus (CMV) encephalitis and toxoplasmosis (specifically cerebral toxoplasmosis and toxoplasma encephalitis). Fungal infections also target the CNS; it is a common site for disseminated mucormycosis (second only to the lungs), a potential sit"
腹腔感染实验室检测,腹腔感染实验室检测,指南建议,"""腹腔感染实验室检测是腹腔感染诊断流程的一部分，包括病原检测、直接涂片镜检、培养与鉴定、分子检测、血培养、血清标志物检测等。"""
病原检测,病原检测,检查,"""病原检测是指通过各种方法检测病原体，是铜绿假单胞菌下呼吸道感染诊断的基础。""<SEP>""病原检测是腹腔感染实验室检测的一部分，包括直接涂片镜检、培养、鉴定及药物敏感试验等。"""
直接涂片镜检,直接涂片镜检,指南建议,"""直接涂片镜检是病原检测的一部分，包括革兰染色、抗酸染色、弱抗酸染色等。"""
培养与鉴定,培养与鉴定,指南建议,"""培养与鉴定是病原检测的一部分，包括需氧菌培养、厌氧菌培养、真菌培养、分枝杆菌培养等。""<SEP>""培养与鉴定是通过微生物培养和生化/分子方法确定病原体种类的技术，是腹腔感染病原学诊断的金标准。"""
分子检测,分子检测,检查,"""Molecular detection (NAAT) is the gold standard for many STIs, offering high sensitivity and specificity for pathogens like Chlamydia, HSV, and mpox.""<SEP>""分子检测是CDC提供的针对美洲锥虫病的核酸检测方法。""<SEP>""分子检测是利用核酸扩增等技术检测病原体特异性基因的方法，可快速、灵敏地鉴定病原体，包括耐药基因。""<SEP>""分子检测是病原检测的一部分，包括 real-time PCR、高通量测序等。""<SEP>""基于核酸的检测技术，如NAAT。""<SEP>""指通过检测核酸来诊断感染的方法。""<SEP>""用于肺炎支原体和肺炎衣原体检测的几种分子检测方法。"""
革兰阴性杆菌,革兰阴性杆菌,病原体,"""革兰阴性杆菌是一类细菌，包括肠杆菌科细菌、铜绿假单胞菌、鲍曼不动杆菌等。""<SEP>革兰阴性杆菌是一类革兰染色呈阴性的细菌的总称，包括多种菌属和菌种，如铜绿假单胞菌、不动杆菌属、气单胞菌属、大肠埃希菌（大肠杆菌）、肠杆菌属、克雷伯菌属（包括肺炎克雷伯菌）、嗜麦芽窄食单胞菌、枸橼酸杆菌、假单胞菌、流感嗜血杆菌以及鲍曼不动杆菌等。其中，铜绿假单胞菌是革兰阴性杆菌中的代表菌株，占所有假单胞菌属感染的70%以上。

革兰阴性杆菌是多种感染的常见病原体，涉及全身感染、腹腔感染、脑膜炎以及特定的手术部位感染。它们是粒缺伴发热患者的主要致病菌，占比超过50%，常见种类包括大肠埃希菌、肺炎克雷伯菌、铜绿假单胞菌、嗜麦芽窄食单胞菌和鲍曼不动杆菌。在骨髓炎中，革兰阴性杆菌是潜在病原体，包括铜绿假单胞菌和肠杆菌等。在肺移植手术部位感染、经鼻气管插管拔除后感染、起搏器/除颤器感染以及人工关节感染中，革兰阴性杆菌也是主要或常见的病原体之一。

在治疗方面，革兰阴性杆菌的耐药率呈增加趋势，导致氨基糖苷类药物的使用有增加的趋势。部分菌株对多种抗生素耐药，因此在严重感染中常需要广谱抗生素覆盖。然而，多黏菌素对革兰阴"
革兰阳性球菌,革兰阳性球菌,病原体,"""一类细菌，包括肠球菌等，在胆道感染中比例有上升趋势。""<SEP>""革兰阳性球菌是细菌的一种，属于腹腔感染的病原体。""<SEP>""粒缺伴发热患者的致病菌之一。常见种类包括肠球菌、链球菌属、金黄色葡萄球菌和凝固酶阴性葡萄球菌。""<SEP>""革兰阳性球菌是一类革兰染色呈紫色的球菌，包括葡萄球菌、链球菌、肠球菌等，是引起皮肤、呼吸道、泌尿系统及血流感染的常见病原体。""<SEP>""一类革兰染色呈阳性的球菌，是肺移植手术部位感染的病原体之一。""<SEP>""革兰阳性球菌是肝移植手术部位感染的潜在病原体，高危患者需兼顾覆盖。""<SEP>""氨曲南对革兰阳性球菌无效，需注意覆盖。""<SEP>""革兰阳性球菌是引起感染的常见病原体，如金黄色葡萄球菌、链球菌等。""<SEP>""骨髓炎的常见病原体，包括金黄色葡萄球菌等。"""
肠杆菌科,肠杆菌科,病原体,"肠杆菌科（Enterobacteriaceae）是一大类革兰氏阴性杆菌，包括大肠埃希菌（E. coli）、肺炎克雷伯菌（Klebsiella pneumoniae）、肠杆菌（Enterobacter）等多种细菌。作为临床常见的病原体，肠杆菌科细菌广泛存在于人体肠道中，是肠道感染的常见病原体，同时也常引起多种医院获得性感染和社区获得性感染。

在感染类型方面，肠杆菌科细菌可引起多种感染，包括腹腔感染、血流感染、肺部感染（如医院获得性肺炎）、泌尿生殖系统感染（如睾丸炎、前列腺炎）、皮肤软组织感染、感染性心内膜炎、医院获得性脑膜炎以及婴儿骨关节感染等。在特定人群中，如男性同性恋患者，肠杆菌科细菌也是泌尿生殖系统感染的常见病原体。此外，该菌科细菌在糖尿病足感染和憩室炎中也较为常见。

肠杆菌科细菌具有多重耐药性，是研究中关注的重点病原体，影响多种感染的治疗和预后。在药敏试验中，肠杆菌科细菌对多黏菌素E等抗生素的敏感性可通过MIC值（最低抑菌浓度）进行评估，通常依据EUCAST标准进行分类。临床治疗需根据药敏试验结果选择合适的抗生素。

综上所述，肠杆菌科是一类重要的革兰氏阴性杆菌，涵盖多种细菌"
非发酵菌,非发酵菌,病原体,"""一类细菌的总称，鲍曼不动杆菌属于此类，容易与其他非发酵菌区别。""<SEP>""非发酵菌是一类不发酵葡萄糖或仅以氧化方式发酵葡萄糖的革兰阴性杆菌，如铜绿假单胞菌、不动杆菌属，是腹腔感染中重要的需氧菌病原体。""<SEP>""非发酵菌是需氧菌的一种，属于腹腔感染的病原体。""<SEP>""非发酵菌是革兰阴性菌中的一类，包括铜绿假单胞菌、鲍曼不动杆菌和嗜麦芽窄食单胞菌，这些细菌对多黏菌素类药物高度敏感。"""
葡萄球菌,葡萄球菌,病原体,葡萄球菌是一类革兰阳性球菌，包括金黄色葡萄球菌、凝固酶阴性葡萄球菌（如表皮葡萄球菌）以及耐药代表MRSA。作为一类细菌病原体，它是引起多种感染的常见微生物，包括皮肤和软组织感染、血流感染、呼吸道感染（如细菌性肺炎）、腹腔感染（包括医疗机构相关性自发性细菌性腹膜炎SBP）、前庭大腺炎、多关节炎以及脑膜炎。此外，葡萄球菌也是终末期肝病合并皮肤软组织感染的常见病原体，以及糖尿病患者可能定植的病原体，必要时需进行去定植。在治疗方面，葡萄球菌对多种局部抗菌药物敏感，包括杆菌肽、夫西地酸、莫匹罗星和瑞他莫林，且米诺环素对其治疗有效；但需注意，美罗培南对该菌的活性稍低。
肠球菌,肠球菌,病原体,"肠球菌（Enterococci）是一类革兰阳性球菌，属于肠道正常菌群的一部分，常寄居于肠道，通常从浅表培养中分离，很少是真正的病原体，但在特定条件下可成为重要致病菌。肠球菌是需氧菌的一种，常见于腹腔感染（尤其是医院获得性感染）、终末期肝病合并感染、自发性细菌性腹膜炎（SBP）、胆道感染、尿路感染（尤其在复杂性感染中）、血流感染、心内膜炎、心包炎以及脑脓肿等多种感染性疾病中。在粒缺伴发热患者的致病菌中也可见到。肠球菌也是手术部位感染的常见病原体之一，常作为混合感染的一部分，经验性抗菌药物治疗方案需广泛覆盖。

肠球菌可引起多种感染，包括人工关节感染、脑膜炎、感染性心内膜炎以及憩室炎等。对于人工关节感染，治疗需根据青霉素敏感性选择方案；对于感染性心内膜炎，通常需要联合治疗（如氨苄西林+庆大霉素）；对于憩室炎，可能需要特定抗菌药。

在治疗方面，肠球菌常需联合用药，如与氨苄西林或万古霉素联用。常用药物包括万古霉素、利奈唑胺等，但文中提及存在青霉素耐药菌株和耐万古霉素肠球菌（VRE），VRE是其耐药代表。肠球菌对莫匹罗星无活性。在手术感染治疗中，通常不包含针对肠球菌的覆盖方案，但仍可能成功。此"
嗜杆菌,嗜杆菌,病原体,"""嗜杆菌是需氧菌的一种，属于腹腔感染的病原体。""<SEP>""嗜杆菌（如嗜血杆菌属）是一类革兰阴性杆菌，可能参与腹腔感染的混合感染。"""
棒杆菌,棒杆菌,病原体,"""棒杆菌是一类革兰阳性杆菌，通常为皮肤或黏膜的正常菌群，但在特定条件下（如免疫力低下）可能引起腹腔感染。""<SEP>""棒杆菌是需氧菌的一种，属于腹腔感染的病原体。"""
消化链球菌,消化链球菌,病原体,"""一种病原体，治疗可选克林霉素。""<SEP>""消化链球菌是一类厌氧的革兰阳性球菌，是腹腔感染（尤其是腹膜炎、脓肿）中常见的厌氧菌病原体。""<SEP>""消化链球菌是需氧菌的一种，属于腹腔感染的病原体。"""
real-time pcr,REAL-TIME PCR,检查,"""A molecular assay used for laboratory diagnosis of MPXV, preferred over viral cell culture. FDA-cleared non-variola Orthopoxvirus assay and commercially available MPXV-specific assays are available.""<SEP>""A molecular diagnostic technique used to detect and quantify Cryptococcus DNA, aiding in rapid diagnosis.""<SEP>""A type of PCR test that may be helpful for identifying Cryptococcus from CSF but is center-specific.""<SEP>""Real-time PCR may be helpful for identifying Cryptococcus from CSF.""<SEP>""r"
高通量测序,高通量测序,检查,"""高通量测序是分子检测的一种方法，用于检测病原体。""<SEP>""高通量测序（如宏基因组测序）是一种分子检测技术，可无偏性地检测样本中所有病原体核酸，适用于复杂或难治性腹腔感染的病原学诊断。"""
耐药机制表型鉴定,耐药机制表型鉴定,检查,"""耐药机制表型鉴定是在标本培养结果为阳性时，必要时加做的检查，用于评估细菌的耐药性。"""
耐药基因酶型测定,耐药基因酶型测定,检查,"""耐药基因酶型测定是在有条件的情况下，对特殊耐药细菌进行的检查，用于评估细菌的耐药基因。"""
需氧菌培养,需氧菌培养,检查,"""Aerobic bacterial cultures, performed on peritoneal fluid.""<SEP>""需氧菌培养是一种微生物学检查方法，用于分离和鉴定需氧生长的细菌，如肠杆菌科、非发酵菌、葡萄球菌等，是腹腔感染病原学诊断的重要手段。"""
厌氧菌培养,厌氧菌培养,检查,"""Anaerobic bacterial cultures, performed on peritoneal fluid.""<SEP>""厌氧菌培养是专门用于分离和鉴定厌氧生长细菌的微生物学检查方法，对诊断腹腔厌氧菌感染（如消化链球菌）至关重要。"""
真菌培养,真菌培养,检查,"""一种诊断方法，用于检测曲霉菌属等真菌性病原体，最佳样本为手术组织。""<SEP>""传统的真菌培养方法，用于真菌的检测，与脑脊液乳胶凝集试验相比灵敏度较低。""<SEP>""真菌培养""<SEP>""真菌培养是TM病确诊的病原学检查方法，骨髓和淋巴结活检组织培养最敏感。""<SEP>""真菌培养是用于分离和鉴定真菌（如念珠菌）的微生物学检查方法，适用于疑似真菌性腹腔感染。""<SEP>""真菌培养是推荐用于侵袭性皮肤软组织感染及关节腔感染、骨髓及泌尿系统感染的检测方法。""<SEP>""真菌培养用于鉴定真菌种类，根据菌种类型参考真菌感染诊疗指南选择抗真菌药物治疗。""<SEP>""真菌培养的标本取材方法与细菌培养类似，原则上越多越好，培养物取材后应及时送检。""<SEP>""真菌培养需要适宜真菌生长的温度、培养基和时间，用于鉴定真菌种类和进行药敏实验。""<SEP>""真菌培养是毛霉病病原学诊断的方法之一，但文本中未详细描述。""<SEP>""通过培养痰液中的真菌，辅助诊断肺部IFI。""<SEP>""在特定培养基上培养真菌，是诊断真菌感染的金标准。""<SEP>""用于诊断念珠菌、曲霉属等真菌感染的微生物培养方法，是诊断的金标准"
分枝杆菌培养,分枝杆菌培养,检查,"""分枝杆菌培养是分离和鉴定结核分枝杆菌的实验室方法，是诊断结核病的金标准。""<SEP>""分枝杆菌培养是用于分离和鉴定分枝杆菌（包括结核和非结核分枝杆菌）的微生物学检查方法，适用于疑似腹腔结核。"""
脓毒症性休克,脓毒症性休克,疾病,"""由感染引起的全身性炎症反应综合征，导致器官功能障碍，是糖皮质激素治疗的潜在严重不良反应。""<SEP>""脓毒症性休克是脓毒症的一种严重类型，伴有持续性低血压和组织灌注不足，死亡率高，是腹腔感染最危急的状态。"""
急性结肠憩室炎,急性结肠憩室炎,疾病,"""急性结肠憩室炎是结肠憩室的炎症，属于局限性腹腔感染，部分轻症患者可保守治疗，无需立即外科干预。"""
单纯性阑尾炎,单纯性阑尾炎,疾病,"""单纯性阑尾炎是急性阑尾炎的早期阶段，炎症局限于阑尾，是常见的急性腹腔感染，通常需要手术治疗。""<SEP>""单纯性阑尾炎是急性阑尾炎的早期阶段，炎症局限于阑尾，通常需要手术治疗。"""
上消化道穿孔,上消化道穿孔,疾病,"""上消化道穿孔是指胃或十二指肠壁破裂，胃肠内容物进入腹腔，导致化学性和细菌性腹膜炎，是急腹症之一。"""
急性重症胰腺炎,急性重症胰腺炎,疾病,"""急性重症胰腺炎是胰腺的严重炎症，常伴有胰腺坏死和感染，可导致腹腔感染和多器官功能障碍。"""
胰腺无菌性坏死,胰腺无菌性坏死,疾病,"""胰腺无菌性坏死是急性胰腺炎的并发症，指胰腺组织坏死但无细菌感染，合并感染时需外科干预。"""
肠缺血坏死,肠缺血坏死,疾病,"""肠缺血坏死是由于肠系膜血管供血障碍导致的肠壁坏死，可并发严重腹腔感染和脓毒症，需紧急外科处理。"""
肠粘连,肠粘连,疾病,"""肠粘连是腹腔内组织器官之间的异常连接，可由腹腔感染或手术引起，增加手术难度和风险。"""
弥漫性腹膜炎,弥漫性腹膜炎,疾病,"""Diffuse peritonitis is an infection associated with pelvic inflammatory disease, treated with broad-spectrum antibiotics covering aerobic and anaerobic bacteria.""<SEP>""弥漫性腹膜炎是腹膜广泛性炎症，常由消化道穿孔或严重腹腔感染引起，病情危重，需紧急治疗。"""
肠瘘,肠瘘,疾病,"""肠瘘是肠道与其他器官或体表之间的异常通道，可导致腹腔感染和营养不良，是腹腔感染的并发症。"""
腹腔间隔室综合征,腹腔间隔室综合征,疾病,"""腹腔间隔室综合征是腹内压持续升高导致器官功能障碍的综合征，可由严重腹腔感染、创伤等引起，需腹腔开放减压。""<SEP>""腹腔间隔室综合征是腹内压持续升高导致器官功能障碍的综合征，需腹腔开放减压。"""
急性阑尾炎,急性阑尾炎,疾病,"""急性阑尾炎是阑尾的急性炎症，是常见的急性腹腔感染，临床表现多样，需及时诊断和治疗。""<SEP>""阑尾的急性炎症，表现为右下腹痛等。"""
阑尾周围脓肿,阑尾周围脓肿,疾病,"""阑尾周围脓肿是急性阑尾炎的并发症，指阑尾周围脓液积聚，可经皮穿刺引流或手术治疗。"""
化学性腹膜炎,化学性腹膜炎,疾病,"""化学性腹膜炎是由化学刺激物（如胃酸、胆汁）引起的腹膜炎症，是上消化道穿孔早期的主要表现。"""
细菌性腹膜炎,细菌性腹膜炎,疾病,"""细菌性腹膜炎是由细菌感染引起的腹膜炎症，是上消化道穿孔后期的主要表现，可导致脓毒症。"""
腹腔镜阑尾切除术,腹腔镜阑尾切除术,手术治疗,"""腹腔镜阑尾切除术是通过腹腔镜技术切除阑尾的手术，是急性阑尾炎的首选治疗方法，具有创伤小、恢复快等优势。"""
阑尾切除术,阑尾切除术,手术治疗,"""阑尾切除术是通过手术切除阑尾的治疗方法，是急性阑尾炎最有效的治疗手段，包括开腹和腹腔镜两种方式。"""
经皮穿刺引流,经皮穿刺引流,诊疗技术及设备,"""经皮穿刺引流是一种非手术介入治疗手段，用于引流腹腔内局限性脓肿，安全有效，治愈率高。""<SEP>""经皮穿刺引流是一种非手术治疗手段，用于引流腹腔内局限性脓肿。""<SEP>""经皮穿刺引流是在影像学引导下（如超声、CT）通过穿刺针或导管引流脓液的方法，适用于腹腔脓肿或积液，创伤小。""<SEP>""经皮穿刺引流是治疗阑尾周围脓肿的方法之一，与开腹手术相比，并发症明显减少。"""
开腹手术,开腹手术,手术治疗,"""开腹手术是传统的手术方式，用于IPN治疗失败后的补救。""<SEP>""开腹手术是通过腹部切口进行的传统手术方式，适用于复杂腹腔感染、肠缺血坏死等需要直接探查和处理的情况。"""
腹腔镜手术,腹腔镜手术,手术治疗,"""腹腔镜手术是通过腹腔镜器械进行的微创手术，适用于多种腹腔感染的治疗，如阑尾切除、胆囊切除等。"""
开放引流术式,开放引流术式,手术治疗,"""开放引流术式是通过开放切口引流脓液的方法，适用于复杂腹腔脓肿、弥漫性腹膜炎等复杂情况。"""
损伤控制手术,损伤控制手术,手术治疗,"""损伤控制手术是一种分阶段的手术策略，第一阶段控制感染和出血，第二阶段复苏，第三阶段确定性手术，适用于严重创伤和复杂腹腔感染。"""
腹腔开放,腹腔开放,手术治疗,"""腹腔开放是指手术后不缝合腹壁切口，用临时材料覆盖，目的是降低腹内压、便于再次手术，适用于严重腹腔感染和腹腔间隔室综合征。"""
重建和腹壁闭合,重建和腹壁闭合,手术治疗,"""重建和腹壁闭合是损伤控制手术第三阶段的手术，旨在修复解剖结构和关闭腹壁，是确定性手术的一部分。"""
mri,MRI,检查,"Magnetic Resonance Imaging (MRI) is a non-invasive, radiation-free imaging technique that utilizes magnetic resonance to visualize internal body structures. It is a preferred diagnostic modality for evaluating soft tissues, including the brain, eyes, chest, and abdomen. MRI is widely used to diagnose and monitor various conditions, including pneumonia, abscesses, toxoplasma meningitis, cerebral venous sinus thrombosis, and complications of acute or chronic otitis media, such as mastoiditis, late"
立位腹部x线片,立位腹部X线片,检查,"""立位腹部X线片是上消化道穿孔的影像学检查，见膈下新月形气体影。""<SEP>""立位腹部X线片是用于检测腹腔游离气体的影像学检查，是诊断上消化道穿孔的重要手段。"""
超声引导下诊断性腹腔穿刺,超声引导下诊断性腹腔穿刺,检查,"""超声引导下诊断性腹腔穿刺是在超声引导下穿刺腹腔抽取液体进行检查的方法，用于诊断腹腔感染和鉴别穿孔。"""
内镜,内镜,诊疗技术及设备,"""内镜是一种通过自然腔道进入体腔进行检查和治疗的设备，可用于腹腔感染的引流或病因诊断。""<SEP>""内镜是指通过内镜观察体内器官，用于诊断肠道感染等疾病。""<SEP>""内镜是用于诊断幽门螺杆菌感染的检查设备。"""
经皮肾镜,经皮肾镜,诊疗技术及设备,"""经皮肾镜是一种通过皮肤穿刺进入肾脏的内镜技术，可用于特定腹腔或腹膜后感染的引流。"""
广谱抗菌药物,广谱抗菌药物,药物,"广谱抗菌药物（Broad-spectrum antimicrobial agents）是指对多种细菌具有抗菌作用的抗菌药物，例如碳青霉烯类药物。这类药物能够覆盖多种病原体，因此常用于危重患者的经验性治疗，以及腹腔感染、胃肠道感染和脓毒症的初始经验性治疗。在临床应用中，广谱抗菌药物通常建议在病原体诊断不明时（如手术部位感染SSI）给予，并且在脓毒症治疗中，若在1小时内给予可降低住院病死率。此外，它们也常用于特定手术（如肝移植手术和公民逝世后器官捐献肾移植受者术后）的预防性使用，以覆盖革兰阴性杆菌。

然而，广谱抗菌药物的使用也存在显著风险。系统性使用这类药物，尤其是在90天内，会增加多重耐药铜绿假单胞菌（MDR-PA）感染的风险。近期使用广谱抗菌药物与慢性PA下呼吸道感染相关，并且是MDR-PA感染的高风险因素。此外，广谱抗菌药物可能对某些感染（如三度腹膜炎中的病原体）无效，并且过度使用可能导致耐药性增加。

在特定患者群体中，广谱抗菌药物用于治疗中性粒细胞减少伴发热患者，但对真菌无效。这类药物通常通过静脉注射给药，治疗持续时间可能达到96小时或更长。在发热驱动的经验性治疗中，它们也用于"
引流,引流,手术治疗,"""Drainage is an immediate surgical procedure needed for purulent secretion accumulation in DFI.""<SEP>""引流是将脓液或积液排出体外的治疗方法，常用于脓肿或积液的治疗。""<SEP>""引流是治疗化脓性感染的重要措施，如脓肿切开引流。""<SEP>""引流是治疗心包炎的重要技术，通过心包腔引流减轻心包压力，文中提及引流后一般疗程2周。""<SEP>""引流是治疗脓肿等感染的重要措施，包括切开或穿刺抽吸、置管、冲洗等。""<SEP>""引流是通过各种方法（如穿刺、手术）将脓液或积液排出体外，是治疗腹腔感染（尤其是脓肿）的基本原则。""<SEP>""引流是通过体位或器械将感染灶内的分泌物或脓液排出体外的治疗方法，如痰液引流、腰大池置管引流等。""<SEP>""治疗心脏移植手术部位感染的一种手段，通过引流排出脓液。""<SEP>""通过引流管或穿刺等方式排出积液或脓液。""<SEP>""引流是细菌性心包炎出现心脏压塞时的治疗措施。""<SEP>""引流是通过手术或穿刺排出脓液或其他积聚物的治疗方法。在文本中，它被用于治疗憩室炎并发"
复苏,复苏,其他治疗,"""复苏是指通过液体复苏、血管活性药物等手段恢复和维持循环稳定，是脓毒症和脓毒症性休克患者的关键治疗措施。""<SEP>""复苏是损伤控制手术第二阶段的治疗，旨在恢复正常的生理功能。"""
外科干预,外科干预,其他治疗,"""外科干预是指通过手术方式控制感染源（如切除病灶、修补穿孔、引流脓液），是腹腔感染治疗的重要组成部分。""<SEP>""针对念珠菌感染并发症的外科治疗，与抗真菌药物联合使用。"""
抗感染治疗,抗感染治疗,其他治疗,"""多黏菌素类药物的主要用途，皮肤色素沉着不影响其抗感染治疗。""<SEP>""抗感染治疗是使用抗菌药物治疗感染性疾病的方法。""<SEP>""抗感染治疗是指使用抗菌药物（包括抗生素、抗真菌药等）控制感染，是腹腔感染的基础治疗。""<SEP>""抗感染治疗是针对PA感染的基础治疗，重症HAP/VAP患者可在其基础上酌情应用免疫球蛋白。""<SEP>""抗感染治疗是肺炎的主要治疗方法，包括使用抗生素等药物。""<SEP>""针对细菌或真菌感染的治疗。""<SEP>""针对感染的治疗，文中提及依拉环素和奥马环素可同时进行抗感染和CDI治疗。""<SEP>""抗感染治疗是新生儿脓毒症的核心治疗。""<SEP>""抗感染治疗是针对病原体的治疗，包括抗菌、抗真菌、抗病毒等药物，是感染性疾病治疗的核心。""<SEP>""针对细菌感染的治疗，是肺移植手术部位感染治疗的一部分。""<SEP>""抗感染治疗是使用抗微生物药物（如抗生素）来治疗由病原体引起的感染的过程，本表格主要涉及该治疗中药物的剂量调整。""<SEP>""抗感染治疗是指使用抗菌药物治疗感染性疾病的过程。文中涉及的抗真菌治疗和抗结核治疗均属于抗感染治疗。""<SEP>""抗感染治疗指针对"
损伤控制,损伤控制,其他治疗,"""损伤控制是一种外科治疗理念，强调在严重创伤或复杂感染时，优先控制危及生命的问题（如出血、感染），待患者稳定后再行确定性手术。"""
